transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,month,sales
1,2023-10-23,10:35:58,1,10,Upper East Side,94,3.64,Coffee,Barista Espresso,Cappuccino Sm,October,3.64
2,2023-07-19,08:30:24,1,4,Upper East Side,36,2.83,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,July,2.83
3,2023-06-30,18:28:53,3,2,Midtown,35,2.7,Bakery,Muffin,Chocolate Chip Muffin,June,8.100000000000001
4,2023-06-29,06:44:28,3,8,Brooklyn,12,3.59,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,June,10.77
5,2023-01-09,12:22:37,2,7,Upper East Side,54,3.32,Bakery,Muffin,Blueberry Muffin,January,6.64
6,2023-05-14,14:26:15,2,6,Midtown,14,2.99,Bakery,Scone,Blueberry Scone,May,5.98
7,2023-03-24,20:11:25,1,7,Upper East Side,90,4.39,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,March,4.39
8,2023-12-06,14:37:19,1,7,Upper East Side,13,2.99,Bakery,Scone,Oatmeal Scone,December,2.99
9,2023-02-17,06:14:30,3,3,Lower Manhattan,79,4.67,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,February,14.01
10,2023-10-17,19:12:22,3,1,Queens,23,2.77,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,October,8.31
11,2023-04-24,12:08:28,3,5,Lower Manhattan,55,3.12,Bakery,Croissant,Almond Croissant,April,9.36
12,2023-09-10,17:51:30,2,6,Upper East Side,70,4.3,Tea,Green tea,Sencha Lg,September,8.6
13,2023-09-30,06:58:28,3,3,Midtown,25,2.33,Coffee,Gourmet brewed coffee,House Blend Lg,September,6.99
14,2023-09-28,19:41:41,1,2,Lower Manhattan,44,4.04,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,September,4.04
15,2023-07-09,15:02:36,3,7,Midtown,34,3.36,Bakery,Muffin,Chocolate Chip Muffin,July,10.08
16,2023-12-06,07:49:22,1,1,Midtown,91,2.78,Tea,Herbal tea,Peppermint Fresh Lg,December,2.78
17,2023-04-19,08:09:03,2,7,Midtown,60,2.7,Bakery,Croissant,Almond Croissant,April,5.4
18,2023-08-14,16:05:45,3,2,Brooklyn,88,2.91,Tea,Green tea,Jasmine Green Sm,August,8.73
19,2023-03-18,19:54:20,1,10,Queens,39,3.42,Coffee,Drip coffee,Light Roast Sm,March,3.42
